Product,Style,Unit_Price
100,A,51.83
100,B,53.38
100,C,54.98
100,D,56.63
100,E,58.33
100,F,60.08
100,G,61.88
100,H,63.74
101,A,900.24
101,B,927.25
101,C,955.07
101,D,983.72
101,E,1013.23
101,F,1043.63
101,G,1074.94
101,H,1107.19
102,A,655.07
102,B,674.72
102,C,694.96
102,D,715.81
102,E,737.28
102,F,759.4
102,G,782.18
102,H,805.65
103,A,385.18
103,B,396.74
103,C,408.64
103,D,420.9
103,E,433.53
103,F,446.54
103,G,459.94
103,H,473.74
104,A,551.81
104,B,568.36
104,C,585.41
104,D,602.97
104,E,621.06
104,F,639.69
104,G,658.88
104,H,678.65
105,A,66.24
105,B,68.23
105,C,70.28
105,D,72.39
105,E,74.56
105,F,76.8
105,G,79.1
105,H,81.47
106,A,161.19
106,B,166.03
106,C,171.01
106,D,176.14
106,E,181.42
106,F,186.86
106,G,192.47
106,H,198.24
107,A,935.6
107,B,963.67
107,C,992.58
107,D,1022.36
107,E,1053.03
107,F,1084.62
107,G,1117.16
107,H,1150.67
108,A,394.11
108,B,405.93
108,C,418.11
108,D,430.65
108,E,443.57
108,F,456.88
108,G,470.59
108,H,484.71
109,A,487.07
109,B,501.68
109,C,516.73
109,D,532.23
109,E,548.2
109,F,564.65
109,G,581.59
109,H,599.04
110,A,833.54
110,B,858.55
110,C,884.31
110,D,910.84
110,E,938.17
110,F,966.32
110,G,995.31
110,H,1025.17
111,A,508.4
111,B,523.65
111,C,539.36
111,D,555.54
111,E,572.21
111,F,589.38
111,G,607.06
111,H,625.27
112,A,944.93
112,B,973.28
112,C,1002.48
112,D,1032.55
112,E,1063.53
112,F,1095.44
112,G,1128.3
112,H,1162.15
113,A,320.49
113,B,330.1
113,C,340
113,D,350.2
113,E,360.71
113,F,371.53
113,G,382.68
113,H,394.16
114,A,188.93
114,B,194.6
114,C,200.44
114,D,206.45
114,E,212.64
114,F,219.02
114,G,225.59
114,H,232.36
115,A,489.75
115,B,504.44
115,C,519.57
115,D,535.16
115,E,551.21
115,F,567.75
115,G,584.78
115,H,602.32
116,A,883.88
116,B,910.4
116,C,937.71
116,D,965.84
116,E,994.82
116,F,1024.66
116,G,1055.4
116,H,1087.06
117,A,496.73
117,B,511.63
117,C,526.98
117,D,542.79
117,E,559.07
117,F,575.84
117,G,593.12
117,H,610.91
118,A,579.08
118,B,596.45
118,C,614.34
118,D,632.77
118,E,651.75
118,F,671.3
118,G,691.44
118,H,712.18
119,A,838.05
119,B,863.19
119,C,889.09
119,D,915.76
119,E,943.23
119,F,971.53
119,G,1000.68
119,H,1030.7
120,A,539.03
120,B,555.2
120,C,571.86
120,D,589.02
120,E,606.69
120,F,624.89
120,G,643.64
120,H,662.95
121,A,916.19
121,B,943.68
121,C,971.99
121,D,1001.15
121,E,1031.18
121,F,1062.12
121,G,1093.98
121,H,1126.8
122,A,95.46
122,B,98.32
122,C,101.27
122,D,104.31
122,E,107.44
122,F,110.66
122,G,113.98
122,H,117.4
123,A,95.11
123,B,97.96
123,C,100.9
123,D,103.93
123,E,107.05
123,F,110.26
123,G,113.57
123,H,116.98
124,A,533.27
124,B,549.27
124,C,565.75
124,D,582.72
124,E,600.2
124,F,618.21
124,G,636.76
124,H,655.86
125,A,929.5
125,B,957.39
125,C,986.11
125,D,1015.69
125,E,1046.16
125,F,1077.54
125,G,1109.87
125,H,1143.17
126,A,881.44
126,B,907.88
126,C,935.12
126,D,963.17
126,E,992.07
126,F,1021.83
126,G,1052.48
126,H,1084.05
127,A,925.66
127,B,953.43
127,C,982.03
127,D,1011.49
127,E,1041.83
127,F,1073.08
127,G,1105.27
127,H,1138.43
128,A,519.52
128,B,535.11
128,C,551.16
128,D,567.69
128,E,584.72
128,F,602.26
128,G,620.33
128,H,638.94
129,A,999.5
129,B,1029.49
129,C,1060.37
129,D,1092.18
129,E,1124.95
129,F,1158.7
129,G,1193.46
129,H,1229.26
130,A,388.11
130,B,399.75
130,C,411.74
130,D,424.09
130,E,436.81
130,F,449.91
130,G,463.41
130,H,477.31
131,A,256.66
131,B,264.36
131,C,272.29
131,D,280.46
131,E,288.87
131,F,297.54
131,G,306.47
131,H,315.66
132,A,627.75
132,B,646.58
132,C,665.98
132,D,685.96
132,E,706.54
132,F,727.74
132,G,749.57
132,H,772.06
133,A,436.33
133,B,449.42
133,C,462.9
133,D,476.79
133,E,491.09
133,F,505.82
133,G,520.99
133,H,536.62
134,A,660.22
134,B,680.03
134,C,700.43
134,D,721.44
134,E,743.08
134,F,765.37
134,G,788.33
134,H,811.98
135,A,197.48
135,B,203.4
135,C,209.5
135,D,215.79
135,E,222.26
135,F,228.93
135,G,235.8
135,H,242.87
136,A,267.86
136,B,275.9
136,C,284.18
136,D,292.71
136,E,301.49
136,F,310.53
136,G,319.85
136,H,329.45
137,A,92.59
137,B,95.37
137,C,98.23
137,D,101.18
137,E,104.22
137,F,107.35
137,G,110.57
137,H,113.89
138,A,543.61
138,B,559.92
138,C,576.72
138,D,594.02
138,E,611.84
138,F,630.2
138,G,649.11
138,H,668.58
139,A,52.07
139,B,53.63
139,C,55.24
139,D,56.9
139,E,58.61
139,F,60.37
139,G,62.18
139,H,64.05
140,A,945.82
140,B,974.19
140,C,1003.42
140,D,1033.52
140,E,1064.53
140,F,1096.47
140,G,1129.36
140,H,1163.24
141,A,732.58
141,B,754.56
141,C,777.2
141,D,800.52
141,E,824.54
141,F,849.28
141,G,874.76
141,H,901
142,A,909.26
142,B,936.54
142,C,964.64
142,D,993.58
142,E,1023.39
142,F,1054.09
142,G,1085.71
142,H,1118.28
143,A,167.57
143,B,172.6
143,C,177.78
143,D,183.11
143,E,188.6
143,F,194.26
143,G,200.09
143,H,206.09
144,A,824.93
144,B,849.68
144,C,875.17
144,D,901.43
144,E,928.47
144,F,956.32
144,G,985.01
144,H,1014.56
145,A,424.95
145,B,437.7
145,C,450.83
145,D,464.35
145,E,478.28
145,F,492.63
145,G,507.41
145,H,522.63
146,A,429.71
146,B,442.6
146,C,455.88
146,D,469.56
146,E,483.65
146,F,498.16
146,G,513.1
146,H,528.49
147,A,260.94
147,B,268.77
147,C,276.83
147,D,285.13
147,E,293.68
147,F,302.49
147,G,311.56
147,H,320.91
148,A,272.57
148,B,280.75
148,C,289.17
148,D,297.85
148,E,306.79
148,F,315.99
148,G,325.47
148,H,335.23
149,A,441.07
149,B,454.3
149,C,467.93
149,D,481.97
149,E,496.43
149,F,511.32
149,G,526.66
149,H,542.46
150,A,762.47
150,B,785.34
150,C,808.9
150,D,833.17
150,E,858.17
150,F,883.92
150,G,910.44
150,H,937.75
151,A,442.82
151,B,456.1
151,C,469.78
151,D,483.87
151,E,498.39
151,F,513.34
151,G,528.74
151,H,544.6
152,A,231.59
152,B,238.54
152,C,245.7
152,D,253.07
152,E,260.66
152,F,268.48
152,G,276.53
152,H,284.83
153,A,592.11
153,B,609.87
153,C,628.17
153,D,647.02
153,E,666.43
153,F,686.42
153,G,707.01
153,H,728.22
154,A,738.78
154,B,760.94
154,C,783.77
154,D,807.28
154,E,831.5
154,F,856.45
154,G,882.14
154,H,908.6
155,A,83.83
155,B,86.34
155,C,88.93
155,D,91.6
155,E,94.35
155,F,97.18
155,G,100.1
155,H,103.1
156,A,281.46
156,B,289.9
156,C,298.6
156,D,307.56
156,E,316.79
156,F,326.29
156,G,336.08
156,H,346.16
157,A,948.32
157,B,976.77
157,C,1006.07
157,D,1036.25
157,E,1067.34
157,F,1099.36
157,G,1132.34
157,H,1166.31
158,A,313.04
158,B,322.43
158,C,332.1
158,D,342.06
158,E,352.32
158,F,362.89
158,G,373.78
158,H,384.99
159,A,473.01
159,B,487.2
159,C,501.82
159,D,516.87
159,E,532.38
159,F,548.35
159,G,564.8
159,H,581.74
160,A,450.03
160,B,463.53
160,C,477.44
160,D,491.76
160,E,506.51
160,F,521.71
160,G,537.36
160,H,553.48
161,A,157.25
161,B,161.97
161,C,166.83
161,D,171.83
161,E,176.98
161,F,182.29
161,G,187.76
161,H,193.39
162,A,478.02
162,B,492.36
162,C,507.13
162,D,522.34
162,E,538.01
162,F,554.15
162,G,570.77
162,H,587.89
163,A,920.21
163,B,947.82
163,C,976.25
163,D,1005.54
163,E,1035.71
163,F,1066.78
163,G,1098.78
163,H,1131.74
164,A,57.53
164,B,59.26
164,C,61.04
164,D,62.87
164,E,64.76
164,F,66.7
164,G,68.7
164,H,70.76
165,A,721.25
165,B,742.89
165,C,765.18
165,D,788.14
165,E,811.78
165,F,836.13
165,G,861.21
165,H,887.05
166,A,205.74
166,B,211.91
166,C,218.27
166,D,224.82
166,E,231.56
166,F,238.51
166,G,245.67
166,H,253.04
167,A,956.08
167,B,984.76
167,C,1014.3
167,D,1044.73
167,E,1076.07
167,F,1108.35
167,G,1141.6
167,H,1175.85
168,A,226.11
168,B,232.89
168,C,239.88
168,D,247.08
168,E,254.49
168,F,262.12
168,G,269.98
168,H,278.08
169,A,892.87
169,B,919.66
169,C,947.25
169,D,975.67
